id,date,time,municipality,location,lat,lng,crash_type,severity,corridor,barrel,direction,jurisdiction,description,source_url
L18-0400,2018-02-26,09:06,Lavallette Borough,Pershing Boulevard,,,vehicle,property_damage,,,,county,Property-damage collision with a parked vehicle involving 2 vehicles on Pershing Boulevard. (Source: NJDOT crash record.),
L18-0565,2018-03-11,14:19,Lavallette Borough,Route 35 North & President Avenue,39.974121,-74.06832,vehicle,property_damage,President Avenue,Grand Central Avenue,N,state,Property-damage backing collision involving 2 vehicles on Route 35 about 30 ft W of President Avenue. (Source: NJDOT crash record.),
L18-0840,2018-04-11,10:00,Lavallette Borough,Dickman Drive,,,vehicle,property_damage,,,,county,Property-damage collision with a parked vehicle involving 2 vehicles on Dickman Drive. (Source: NJDOT crash record.),
L18-0879,2018-04-14,13:08,Lavallette Borough,Baltimore Avenue & New Brunswick Avenue,39.96768,-74.07262,vehicle,property_damage,,,,borough,Property-damage right-angle collision involving 2 vehicles on Baltimore Avenue at New Brunswick Avenue. (Source: NJDOT crash record.),
L18-0880,2018-04-14,14:08,Lavallette Borough,Route 35 South & New Brunswick Avenue,39.967545,-74.071076,vehicle,injury,New Brunswick Avenue,Anna O Hankins Boulevard,S,state,Injury right-angle collision involving 2 vehicles on Route 35 at New Brunswick Avenue. (Source: NJDOT crash record.),
L18-0982,2018-04-24,13:59,Lavallette Borough,Route 35 South & Washington Avenue,39.969011,-74.070826,vehicle,injury,Washington Avenue,Anna O Hankins Boulevard,S,state,Injury rear-end collision involving 2 vehicles on Route 35 about 34 ft N of Washington Avenue. (Source: NJDOT crash record.),
L18-1009,2018-04-27,18:45,Lavallette Borough,Route 35 North & Reese Avenue,39.97334,-74.068442,vehicle,property_damage,Reese Avenue,Grand Central Avenue,N,state,Property-damage same-direction sideswipe involving 2 vehicles on Route 35 about 100 ft N of Reese Avenue. (Source: NJDOT crash record.),
L18-1153,2018-05-10,15:13,Lavallette Borough,Route 35 South & President Avenue,39.974287,-74.06996,vehicle,property_damage,President Avenue,Anna O Hankins Boulevard,S,state,Property-damage same-direction sideswipe involving 2 vehicles on Route 35 at President Avenue. (Source: NJDOT crash record.),
L18-1445,2018-05-26,13:54,Lavallette Borough,Route 35 South & Kerr Avenue,39.97653,-74.06961,vehicle,injury,Kerr Avenue,Anna O Hankins Boulevard,S,state,Injury left-turn or U-turn collision involving 2 vehicles on Route 35 at Kerr Avenue. (Source: NJDOT crash record.),
L18-1490,2018-05-27,12:36,Lavallette Borough,Route 35 South & Brown Avenue,39.971295,-74.070446,vehicle,property_damage,Brown Avenue,Anna O Hankins Boulevard,S,state,Property-damage same-direction sideswipe involving 2 vehicles on Route 35 at Brown Avenue. (Source: NJDOT crash record.),
L18-2106,2018-06-28,23:47,Lavallette Borough,Route 35 & Pennsylvania Avenue,39.965992,-74.070489,vehicle,property_damage,Pennsylvania Avenue,,,state,Property-damage collision with a fixed object involving a vehicle on Route 35 about 85 ft W of Pennsylvania Avenue. (Source: NJDOT crash record.),
L18-2241,2018-07-02,12:55,Lavallette Borough,Route 35 South & New Brunswick Avenue,39.96751,-74.07107,vehicle,property_damage,New Brunswick Avenue,Anna O Hankins Boulevard,S,state,Property-damage same-direction sideswipe involving 2 vehicles on Route 35 at New Brunswick Avenue. (Source: NJDOT crash record.),
L18-2245,2018-07-02,17:14,Lavallette Borough,Route 35 South & Bryn Mawr Avenue,39.9803,-74.06899,vehicle,property_damage,Bryn Mawr Avenue,West Central Avenue,S,state,Property-damage same-direction sideswipe involving 2 vehicles on Route 35 at Bryn Mawr Avenue. (Source: NJDOT crash record.),
L18-2278,2018-07-03,17:21,Lavallette Borough,Route 35 North & Brown Avenue,39.97113,-74.06881,bicycle,injury,Brown Avenue,Grand Central Avenue,N,state,Injury crash involving a bicyclist and a vehicle on Route 35 at Brown Avenue. (Source: NJDOT crash record.),
L18-2359,2018-07-05,17:12,Lavallette Borough,Route 35 South & Washington Avenue,39.96917,-74.07079,vehicle,injury,Washington Avenue,Anna O Hankins Boulevard,S,state,Injury rear-end collision involving 2 vehicles on Route 35 about 50 ft N of Washington Avenue. (Source: NJDOT crash record.),
L18-2457,2018-07-08,20:30,Lavallette Borough,Route 35 South & Camden Avenue,39.97054,-74.07058,vehicle,property_damage,Camden Avenue,Anna O Hankins Boulevard,S,state,Property-damage opposite-direction sideswipe involving 2 vehicles on Route 35 at Camden Avenue. (Source: NJDOT crash record.),
L18-2462,2018-07-09,07:40,Lavallette Borough,Route 35 North & Reese Avenue,39.97334,-74.068442,vehicle,property_damage,Reese Avenue,Grand Central Avenue,N,state,Property-damage right-angle collision involving 2 vehicles on Route 35 about 40 ft N of Reese Avenue. (Source: NJDOT crash record.),
L18-2521,2018-07-12,07:59,Lavallette Borough,Route 35 North & Brown Avenue,39.97113,-74.06881,vehicle,property_damage,Brown Avenue,Grand Central Avenue,N,state,Property-damage same-direction sideswipe involving 2 vehicles on Route 35 at Brown Avenue. (Source: NJDOT crash record.),
